Query,Intent,Aggregation,Paid Status,split
How many repair did I sell This fiscal year to date?,Invoice,Count,None,train
How many service did I sell today?,Invoice,Count,None,train
What is my average revenue for freeman sporting goods in the This year?,Sales,Average,None,train
When was the first time we billed for lighting,Invoice,Min,None,train
How much money did we spend on net expenses?,Expense,Total,None,train
What are my AR Last fiscal year?,Account Receivables,Total,None,train
What are my account payable This week?,Account Payable,Total,None,test
How many invoices were paid This week to date?,Invoice,Count,TRUE,train
Display all transactions involving video game by dan,Invoice,Count,None,test
When was barnett design last payment?,Invoice,Max,TRUE,train
What was our smallest expense Last year?,Expense,Min,None,train
What was our smallest expense Last fiscal year?,Expense,Min,None,train
"As of Last year, how many invoices for red rock diner were still outstanding?",Invoice,Count,FALSE,test
What was the mean invoice amount for labor in Last month?,Sales,Average,None,train
How much did I spend This month?,Expense,Total,None,train
How much credit does sushi by katsuyuki have Last quarter?,Sales,Total,FALSE,train
What was our Net Expenses?,Expense,Total,None,train
"Last 30 days, what are my account receivable?",Account Receivables,Total,None,train
"In the Last fiscal year, what has been my mean revenue from red rock diner?",Sales,Average,None,test
What was the average invoice amount for account payable (a/p) in Last quarter?,Sales,Average,None,train
"Last month, how many invoices were paid?",Invoice,Count,TRUE,train
What was our greatest expense Last 7 days?,Expense,Max,None,test
"Since Last 12 months, how many invoices have been past due?",Invoice,Count,FALSE,train
What was our biggest expense This year to date?,Expense,Max,None,train
What was the first invoice for lighting?,Invoice,Min,None,train
What was the first invoice for design?,Invoice,Min,None,train
What was the first invoice for weiskopf consulting?,Invoice,Min,None,train
How many services did I sell This month?,Invoice,Count,None,train
When was the last time kookies by kathy paid you?,Invoice,Max,TRUE,train
How much money did we make Last year?,Sales,Total,None,train
When was the first time kookies by kathy paid you?,Invoice,Min,TRUE,train
What's the average contract size for the Sales team?,Sales,Average,None,train
How much did we spend on edd in This week?,Expense,Total,TRUE,train
What was the total of our net expenses?,Expense,Total,None,train
What is the balance owed by barnett design?,Sales,Total,FALSE,test
When did wedding planning by whitney last pay?,Invoice,Max,None,train
How much have we been spending on landscaping service?,Expense,Total,None,train
What was the total of our net expenses?,Expense,Total,None,train
When was weiskopf consulting first payment?,Invoice,Min,TRUE,train
"In the yesterday, what has been my total revenue from diego rodriguez?",Sales,Total,None,test
"This fiscal year to date, how many sprinkler pipes did I sell?",Invoice,Count,None,train
When did sonnenschein family store last pay?,Invoice,Max,None,train
How much did we spend on repair & maintenance (deleted) Last quarter?,Expense,Total,None,train
What was the first invoice for paulsen medical supplies?,Invoice,Min,None,train
What were my expenses in the yesterday?,Expense,Total,None,train
How much we received from other portfolio income?,Invoice,Total,None,train
"As of Last 30 days, what was our net income?",Sales,Total,None,train
Who has the lowest money outstanding?,Invoice,Min,None,test
Number of invoices created for interest earned?,Invoice,Count,None,train
How much money did we make This year to date?,Sales,Total,None,train
Number of invoices created for meals and entertainment in yesterday?,Invoice,Count,None,train
"In the yesterday, what has been my max sales from travis waldron?",Sales,Max,None,train
"As of yesterday, what was our net income?",Sales,Total,None,train
What has sushi by katsuyuki paid us so far Last year?,Sales,Total,TRUE,train
What was the highest invoice amount for hours?,Sales,Max,None,train
How much money did we make This month?,Sales,Total,None,train
When was the last time we billed for trimming,Invoice,Max,None,test
How many sprinkler pipes did I sell This fiscal year?,Invoice,Count,None,train
mark cho has received how many invoices?,Invoice,Count,None,train
What is my mean revenue for dukes basketball camp in the This month?,Sales,Average,None,train
What is the balance due from shara barnett?,Sales,Total,FALSE,test
What are my account receivable Last year?,Account Receivables,Total,None,train
"This week to date, how much did we pay met life dental?",Expense,Total,TRUE,train
"In the Last 30 days, what has been my max revenue from barnett design?",Sales,Max,None,test
What is the balance owed by jeff's jalopy?,Sales,Total,FALSE,test
How much we received from note payable?,Invoice,Total,None,train
What was the average invoice amount for miscellaneous in This week to date?,Sales,Average,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
What was the first invoice for repair?,Invoice,Min,None,train
What was our greatest expense This fiscal year?,Expense,Max,None,test
How much we received from other portfolio income?,Invoice,Total,None,train
What is the balance owed by kookies by kathy?,Sales,Total,FALSE,test
What are my expenses for the This quarter?,Expense,Total,None,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
When was the last time we billed for soil,Invoice,Max,None,test
"Last fiscal year, what are my AR?",Account Receivables,Total,None,test
"This week to date, what was our smallest expense?",Expense,Min,None,train
What were my outgoings during the Last 7 days?,Expense,Total,None,train
What was the first invoice for lighting?,Invoice,Min,None,train
What's the total number of invoices we've issued to geeta kalapatapu?,Invoice,Count,None,train
"Since This fiscal year, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
What is my total revenue for 55 twin lane in the This fiscal year?,Sales,Total,None,train
How many geeta kalapatapu invoices are still outstanding?,Invoice,Count,FALSE,test
How much has pye's cake paid us This fiscal year?,Sales,Total,TRUE,train
How many invoices were paid Last 30 days?,Invoice,Count,TRUE,train
What was the average bill I received from cigna health care?,Bill,Average,None,train
What has bill's windsurf shop paid us so far Last 12 months?,Sales,Total,TRUE,train
"This year, how much has sonnenschein family store paid us?",Sales,Total,TRUE,test
What was the first invoice for sprinkler pipe?,Invoice,Min,None,train
How much credit does diego rodriguez have This month?,Sales,Total,FALSE,train
"This fiscal year to date, how much has geeta kalapatapu paid us?",Sales,Total,TRUE,test
How many pye's cakes invoices haven't been paid yet?,Invoice,Count,FALSE,train
What was our smallest expense This week to date?,Expense,Min,None,train
What was our total spend for bob's burger joint in the Last 30 days?,Expense,Total,None,train
"As of Last quarter, how many invoices for rago travel agency remained unpaid?",Invoice,Count,FALSE,train
How much did we spend on book by bessie in Last year?,Expense,Total,TRUE,train
"This week, what was our smallest expense?",Expense,Min,None,train
"Since Last month, how many invoices have been past due?",Invoice,Count,FALSE,train
"This year to date, what are my AP?",Account Payable,Total,None,test
What's the total number of invoices we've issued mark cho?,Invoice,Count,None,train
"Last 12 months, how much has 0969 ocean view road paid us?",Sales,Total,TRUE,test
"yesterday, how much did we pay pam seitz?",Expense,Total,TRUE,train
What is my last invoice from elli equipment rental?,Bill,Max,None,test
Who are my outstanding creditors?,Invoice,List,FALSE,test
How much did we pay mahoney mug the Last 30 days?,Expense,Total,TRUE,train
How many invoices are still oustanding for 55 twin lane as of today?,Invoice,Count,FALSE,train
How many invoices have we sent to cool cars?,Invoice,Count,None,test
When did dylan sollfrank last pay?,Invoice,Max,None,train
What is the balance owed by weiskopf consulting?,Sales,Total,FALSE,test
When was the last time paulsen medical supply paid you?,Invoice,Max,TRUE,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
How much did we pay diego's road warrior bodyshop the This quarter?,Expense,Total,TRUE,train
When was the first time rago travel agency paid you?,Invoice,Min,TRUE,train
"This year to date, what are my account payable?",Account Payable,Total,None,test
What was the first invoice for dylan sollfrank?,Invoice,Min,None,train
What was our Net Income as of This year to date?,Sales,Total,None,train
What was our smallest expense This fiscal year?,Expense,Min,None,train
"As of This year to date, what was our net income?",Sales,Total,None,train
What was the last invoice amount for advertising?,Sales,Max,None,train
What has pye's cake paid us so far This month to date?,Sales,Total,TRUE,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
Who has the lowest money outstanding?,Invoice,Min,None,test
How much we received from lawyer?,Invoice,Total,None,train
How much money does mark cho still owe?,Sales,Total,FALSE,train
What has weiskopf consulting paid us so far This quarter to date?,Sales,Total,TRUE,train
Show all of 55 twin lane's transactions,Invoice,Count,None,train
Whats our monthly spend on cal telephone?,Expense,Total,None,train
What was our Net Expenses?,Expense,Total,None,train
What was the last bill I received from cigna health care?,Bill,Max,None,train
"In the Last quarter, how many maintenance did I sell?",Invoice,Count,None,train
What are my AP This fiscal year?,Account Payable,Total,None,train
Show all of barnett design's transactions,Invoice,Count,None,train
"This quarter, how many invoices have been paid?",Invoice,Count,TRUE,train
How much has wedding planning by whitney paid us This year to date?,Sales,Total,TRUE,train
What are my AP This quarter?,Account Payable,Total,None,train
How much credit does sushi by katsuyuki have This fiscal year,Sales,Total,FALSE,test
What was the last invoice amount for legal & professional fee in Last quarter?,Sales,Max,None,train
What was our greatest expense This quarter?,Expense,Max,None,test
Show all of travis waldron's transactions,Invoice,Count,None,train
What was the first invoice for wedding planning by whitney?,Invoice,Min,None,train
How many sod did I sell This quarter to date?,Invoice,Count,None,train
What were our total payroll expenses This quarter to date?,Expense,Total,None,train
What was the lowest invoice amount for mastercard?,Sales,Min,None,train
What is sushi by katsuyuki credit for This fiscal year?,Sales,Total,FALSE,train
Show all transactions with kookies by kathy,Invoice,Count,None,train
Show number of transactions with amy's bird sanctuary,Invoice,Count,None,train
Whats our monthly spend on e?,Expense,Total,None,train
What was our total income from gevelber photography in This fiscal year to date?,Sales,Total,None,train
"This week, what are my account receivable?",Account Receivables,Total,None,train
How much did we pay pam seitz the This quarter to date?,Expense,Total,TRUE,train
Number of invoices created for lawyer?,Invoice,Count,None,train
What is my min sales for pye's cakes in the Last 7 days?,Sales,Min,None,test
What's the total number of invoices we've issued to sonnenschein family store?,Invoice,Count,None,train
What was our total spend for mahoney mugs in the This year?,Expense,Total,None,train
How much credit does kookies by kathy have Last 30 days,Sales,Total,FALSE,test
How much credit does cool cars have today,Sales,Total,FALSE,test
"This year, how much has bill's windsurf shop paid us?",Sales,Total,TRUE,test
What has gevelber photography paid us so far Last 30 days?,Sales,Total,TRUE,train
What has 0969 ocean view road paid us so far This month?,Sales,Total,TRUE,train
How much has wedding planning by whitney been paying us each month?,Sales,Total,None,train
Who has the lowest money outstanding?,Invoice,Min,None,test
What was the highest invoice amount for sprinklers and drip systems in Last 7 days?,Sales,Max,None,train
What were our total payroll expenses today?,Expense,Total,None,train
"Since This fiscal year to date, how many invoices have been past due?",Invoice,Count,FALSE,train
"Since Last 30 days, how many invoices have been past due?",Invoice,Count,FALSE,train
Number of invoices created for equipment rental in Last 12 months?,Invoice,Count,None,train
What was the total of our net expenses?,Expense,Total,None,train
How many geeta kalapatapu invoices are still outstanding?,Invoice,Count,FALSE,test
"Since Last month, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
"This fiscal year, what are my account payable?",Account Payable,Total,None,test
How many invoices have we sent to amy's bird sanctuary?,Invoice,Count,None,test
How much we received from building repairs in Last year?,Invoice,Total,None,train
What was the total invoice amount for john melton?,Sales,Total,None,train
"Since This week to date, how many invoices have been past due?",Invoice,Count,FALSE,train
How much did we pay ellis equipment rental the This week to date?,Expense,Total,TRUE,train
Show all of rondonuwu fruit and vegi's transactions,Invoice,Count,None,train
Show how many transactions you've had with geeta kalapatapu,Invoice,Count,None,test
What was the highest invoice amount for equipment rental?,Sales,Max,None,train
How much we received from promotional?,Invoice,Total,None,train
"This week to date, how much did we pay robertson & associate?",Expense,Total,TRUE,train
What are my account receivable yesterday?,Account Receivables,Total,None,train
Number of invoices created for supplies?,Invoice,Count,None,train
How much has geeta kalapatapu been paying us each month?,Sales,Total,None,train
How much money did we spend on net expenses?,Expense,Total,None,train
"As of Last 12 months, how many invoices for sonnenschein family store were still unpaid?",Invoice,Count,FALSE,train
What was the highest invoice amount for uncategorized expense in Last fiscal year?,Sales,Max,None,train
What is my total bill for tania's nursery?,Bill,Total,None,train
When was the last time we billed for rock fountain,Invoice,Max,None,test
How much revenue came through 0969 ocean view road last month?,Sales,Total,None,train
"This week to date, what was our smallest expense?",Expense,Min,None,train
What's the total number of invoices we've issued to video game by dan?,Invoice,Count,None,train
"As of This week, how many invoices for wedding planning by whitney were still unpaid?",Invoice,Count,FALSE,train
What was our smallest expense This quarter?,Expense,Min,None,train
What is amy's bird sanctuary credit for Last 7 days?,Sales,Total,FALSE,train
"This fiscal year to date, what are my account payable?",Account Payable,Total,None,test
How much did we spend on computer repair This year?,Expense,Total,None,train
How much money does john melton still owe?,Sales,Total,FALSE,train
How much revenue came through cool car last month?,Sales,Total,None,train
What was our biggest expense This year?,Expense,Max,None,train
How many Adobe subscriptions do we have?,Expense,Count,None,train
What was the max invoice I received from computer by jenni?,Bill,Max,None,test
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
What is bill's windsurf shop credit for Last quarter?,Sales,Total,FALSE,train
How much did we pay ellis equipment rental the This year to date?,Expense,Total,TRUE,train
What are my account receivable This week to date?,Account Receivables,Total,None,train
"This year to date, what was our largest expense?",Expense,Max,None,train
How many invoices were paid This week?,Invoice,Count,TRUE,train
What are my AP Last fiscal year?,Account Payable,Total,None,train
"In the yesterday, what has been my lowest sales from dylan sollfrank?",Sales,Min,None,train
What was the first invoice for pump?,Invoice,Min,None,train
How much did we spend on deck and patio This fiscal year to date?,Expense,Total,None,train
What is the balance owed by travis waldron?,Sales,Total,FALSE,test
How much we received from bookkeeper in This month to date?,Invoice,Total,None,train
How much money does video games by dan still owe?,Sales,Total,FALSE,train
"This year to date, how much did we pay norton lumber and building material?",Expense,Total,TRUE,train
What is my lowest revenue for wedding planning by whitney in the This fiscal year?,Sales,Min,None,train
When was the first time barnett design paid you?,Invoice,Min,TRUE,train
How much money did we spend on net expenses?,Expense,Total,None,train
How many invoices have we sent to wedding planning by whitney?,Invoice,Count,None,test
What was our total income from 55 twin lane in yesterday?,Sales,Total,None,train
"In the Last year, what has been my last sales from shara barnett?",Sales,Max,None,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
What was the most recent invoice for jeff's jalopies?,Invoice,Max,None,train
What is the balance due from mark cho?,Sales,Total,FALSE,test
How much has 55 twin lane paid us This week to date?,Sales,Total,TRUE,train
"Since Last 7 days, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
What was our Net Income as of Last 30 days?,Sales,Total,None,train
When was the first time we billed for sprinkler pipe,Invoice,Min,None,train
What are my AR today?,Account Receivables,Total,None,train
"Last 7 days, what are my AR?",Account Receivables,Total,None,test
What were our total payroll expenses Last 12 months?,Expense,Total,None,train
What is shara barnett credit for yesterday?,Sales,Total,FALSE,train
How much money did we make Last year?,Sales,Total,None,train
What are my account payable Last 7 days?,Account Payable,Total,None,test
How much money did we spend on net expenses?,Expense,Total,None,train
What's the average contract size for the Sales team?,Sales,Average,None,train
How many sushi by katsuyuki invoices are still outstanding?,Invoice,Count,FALSE,test
How much money have we paid to fidelity This week?,Expense,Total,TRUE,train
"In the Last year, what has been my max revenue from barnett design?",Sales,Max,None,test
What was the total of our net expenses?,Expense,Total,None,train
What are my expenses for the Last 12 months?,Expense,Total,None,train
When was the last time duke basketball camp paid you?,Invoice,Max,TRUE,train
What were my expenses in the Last 7 days?,Expense,Total,None,train
"Since This month to date, how many invoices have been past due?",Invoice,Count,FALSE,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
How much did we pay tony rondonuwu the Last 30 days?,Expense,Total,TRUE,train
How many invoices are still oustanding for gevelber photography as of This fiscal year to date?,Invoice,Count,FALSE,train
"This week to date, how many invoices were paid?",Invoice,Count,TRUE,train
What is my first revenue for dylan sollfrank in the yesterday?,Sales,Min,None,train
"Last 30 days, how many invoices were paid?",Invoice,Count,TRUE,train
"This fiscal year to date, what are my account receivable?",Account Receivables,Total,None,train
What is the balance due from geeta kalapatapu?,Sales,Total,FALSE,test
Who has the lowest money outstanding?,Invoice,Min,None,test
How many invoices are past due since This year to date?,Invoice,Count,FALSE,train
"As of Last fiscal year, how many invoices for rago travel agency were still unpaid?",Invoice,Count,FALSE,train
"Since This year, how many invoices have been past due?",Invoice,Count,FALSE,train
What was our greatest expense Last quarter?,Expense,Max,None,test
What is my highest invoice from mahoney mugs?,Bill,Max,None,test
When was the last time we billed for installation,Invoice,Max,None,test
When did cool car last pay?,Invoice,Max,None,train
What was the most recent invoice for lighting?,Invoice,Max,None,train
What was our total spend for cigna health care in the Last 7 days?,Expense,Total,None,train
What are my AR This month?,Account Receivables,Total,None,train
When was freeman sporting good last payment?,Invoice,Max,TRUE,train
What are my account payable today?,Account Payable,Total,None,test
What has jeff's jalopy paid us so far Last 12 months?,Sales,Total,TRUE,train
"As of This week to date, how many invoices for sonnenschein family store were still outstanding?",Invoice,Count,FALSE,test
What is my mean sales for pye's cakes in the This week to date?,Sales,Average,None,test
What was our total income from video games by dan in This fiscal year to date?,Sales,Total,None,train
What's the total number of invoices we've issued to travis waldron?,Invoice,Count,None,train
"Since This week, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
Show number of transactions with gevelber photography,Invoice,Count,None,train
"In the Last year, what has been my highest revenue from sushi by katsuyuki?",Sales,Max,None,test
How much money did we spend on net expenses?,Expense,Total,None,train
What's the total number of invoices we've issued to barnett design?,Invoice,Count,None,train
How much credit does video games by dan have Last fiscal year,Sales,Total,FALSE,test
What was our greatest expense Last 30 days?,Expense,Max,None,test
What was the most recent invoice for weiskopf consulting?,Invoice,Max,None,train
"This month to date, what are my AR?",Account Receivables,Total,None,test
What was our greatest expense This month?,Expense,Max,None,test
How much money does weiskopf consulting still owe?,Sales,Total,FALSE,train
What's the total number of invoices we've issued to red rock diner?,Invoice,Count,None,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
"Since This year, how many invoices have been past due?",Invoice,Count,FALSE,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
How much did I spend This year to date?,Expense,Total,None,train
"This year, how many invoices have been paid?",Invoice,Count,TRUE,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
How much credit does john melton have This week to date?,Sales,Total,FALSE,train
How many barnett design invoices have yet to be paid?,Invoice,Count,FALSE,test
paulsen medical supply has received how many invoices?,Invoice,Count,None,train
Show all of diego rodriguez's transactions,Invoice,Count,None,train
Show how many transactions you've had with weiskopf consulting,Invoice,Count,None,test
When was kate whelan last payment?,Invoice,Max,TRUE,train
What's the total number of invoices we've issued geeta kalapatapu?,Invoice,Count,None,train
What was our smallest expense yesterday?,Expense,Min,None,train
What was the total invoice I received from fidelity?,Bill,Total,None,test
"yesterday, what are my AR?",Account Receivables,Total,None,test
"Since This quarter, how many invoices have been late?",Invoice,Count,FALSE,train
What is my last invoice from chin's gas and oil?,Bill,Max,None,test
How many invoices were paid Last 7 days?,Invoice,Count,TRUE,train
How many amy's bird sanctuary invoices haven't been paid yet?,Invoice,Count,FALSE,train
What's the average contract size for the Sales team?,Sales,Average,None,train
What was the lowest invoice amount for checking?,Sales,Min,None,train
Show how many transactions you've had with video game by dan,Invoice,Count,None,test
What was the most recent invoice for refunds?,Invoice,Max,None,train
How much money have we paid to books by bessie This month to date?,Expense,Total,TRUE,train
What was the average invoice I received from computer by jenni?,Bill,Average,None,test
Show all transactions with sushi by katsuyuki,Invoice,Count,None,train
What was the max invoice I received from fidelity?,Bill,Max,None,test
Whats our monthly spend on pg&e?,Expense,Total,None,train
"As of yesterday, what was our net income?",Sales,Total,None,train
"This year to date, how many invoices were paid?",Invoice,Count,TRUE,train
How much money did we make Last 7 days?,Sales,Total,None,train
How many installation did I sell This week?,Invoice,Count,None,train
What are my AR yesterday?,Account Receivables,Total,None,train
How much money did we spend on net expenses?,Expense,Total,None,train
"Last fiscal year, how much did we pay lee advertising?",Expense,Total,TRUE,train
What are my account receivable This month?,Account Receivables,Total,None,train
"Since This quarter, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
"Last 7 days, what are my account receivable?",Account Receivables,Total,None,train
What was our smallest expense Last year?,Expense,Min,None,train
Display the total number of transactions with dukes basketball camp,Invoice,Count,None,train
"As of This year to date, how many invoices for freeman sporting goods were still unpaid?",Invoice,Count,FALSE,train
"Last fiscal year, how many invoices were paid?",Invoice,Count,TRUE,train
What was our total income from geeta kalapatapu in This week?,Sales,Total,None,train
"As of Last 7 days, how many invoices for geeta kalapatapu remained unpaid?",Invoice,Count,FALSE,train
What was our smallest expense This week to date?,Expense,Min,None,train
What is my min revenue for gevelber photography in the This week to date?,Sales,Min,None,train
What is the balance owed by shara barnett?,Sales,Total,FALSE,test
How much money did we make This year to date?,Sales,Total,None,train
What was the first invoice for mark cho?,Invoice,Min,None,train
"As of This fiscal year, what was our net income?",Sales,Total,None,train
How many Adobe subscriptions do we have?,Expense,Count,None,train
"In the This week, what has been my total revenue from video games by dan?",Sales,Total,None,test
What is my first revenue for mark cho in the This quarter?,Sales,Min,None,train
"In the This year, what has been my last revenue from kate whelan?",Sales,Max,None,test
Number of invoices created for dues in Last year?,Invoice,Count,None,train
What's the average contract size for the Sales team?,Sales,Average,None,train
What was the total of our net expenses?,Expense,Total,None,train
"Last quarter, what are my AR?",Account Receivables,Total,None,test
What was our total spend for lee advertising in the This week to date?,Expense,Total,None,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
Show number of transactions with jeff's jalopy,Invoice,Count,None,train
Show all of john melton's transactions,Invoice,Count,None,train
What are my min sales by account?,Sales,Min,None,train
Whats our monthly spend on pg?,Expense,Total,None,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
"Last month, what are my AR?",Account Receivables,Total,None,test
What was the total of our net expenses?,Expense,Total,None,train
How many invoices have we sent to john melton?,Invoice,Count,None,test
What was the last invoice amount for diego rodriguez?,Sales,Max,None,train
"Last fiscal year, how many invoices were paid?",Invoice,Count,TRUE,train
How much have we been spending on disposal fees?,Expense,Total,None,train
Show all of 0969 ocean view road's transactions,Invoice,Count,None,train
What were my expenses in the This week to date?,Expense,Total,None,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
What was our Net Expenses?,Expense,Total,None,train
How much credit does diego rodriguez have Last month,Sales,Total,FALSE,test
How much did we spend on tim philip masonry in Last 30 days?,Expense,Total,TRUE,train
How much did I spend Last month?,Expense,Total,None,train
"Last fiscal year, what are my account receivable?",Account Receivables,Total,None,train
Show how many transactions you've had with john melton,Invoice,Count,None,test
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
What was the first invoice amount for barnett design?,Sales,Min,None,train
Display all transactions involving cool cars,Invoice,Count,None,test
Who has the lowest money outstanding?,Invoice,Min,None,test
"This week to date, how much did we pay norton lumber and building material?",Expense,Total,TRUE,train
What are my expenses for the Last fiscal year?,Expense,Total,None,train
What are my account payable This week?,Account Payable,Total,None,test
What was the last invoice amount for bookkeeper?,Sales,Max,None,train
"In the This week to date, what has been my total revenue from sonnenschein family store?",Sales,Total,None,test
What were my outgoings during the Last 12 months?,Expense,Total,None,train
How much credit does barnett design have Last quarter?,Sales,Total,FALSE,train
How much money have we paid to diego's road warrior bodyshop yesterday?,Expense,Total,TRUE,train
"This fiscal year, how much did we pay book by bessie?",Expense,Total,TRUE,train
How much has freeman sporting good paid us This fiscal year?,Sales,Total,TRUE,train
How much money did we spend on net expenses?,Expense,Total,None,train
Whats our monthly spend on hick hardware?,Expense,Total,None,train
What is dylan sollfrank credit for Last fiscal year?,Sales,Total,FALSE,train
When was the last time we billed for sod,Invoice,Max,None,test
What was the max bill I received from lee advertising?,Bill,Max,None,train
What is the balance due from 55 twin lane?,Sales,Total,FALSE,test
How much has sushi by katsuyuki been paying us each month?,Sales,Total,None,train
How much we received from loan payable?,Invoice,Total,None,train
When was amy's bird sanctuary last payment?,Invoice,Max,TRUE,train
How many duke basketball camp invoices have yet to be paid?,Invoice,Count,FALSE,test
How much did we pay hick hardware the This week to date?,Expense,Total,TRUE,train
What has weiskopf consulting paid us so far This week?,Sales,Total,TRUE,train
What was our total income from travis waldron in This fiscal year to date?,Sales,Total,None,train
How much did we spend on norton lumber and building material in This week?,Expense,Total,TRUE,train
What was the first invoice for sprinkler pipes?,Invoice,Min,None,train
How much did we spend on united state treasury in This quarter to date?,Expense,Total,TRUE,train
What has freeman sporting good paid us so far Last 30 days?,Sales,Total,TRUE,train
How many amy's bird sanctuary invoices haven't been paid yet?,Invoice,Count,FALSE,train
"This fiscal year to date, how many invoices were paid?",Invoice,Count,TRUE,train
"today, what are my account payable?",Account Payable,Total,None,test
Number of invoices created for checking in This month?,Invoice,Count,None,train
Show how many transactions you've had with kookies by kathy,Invoice,Count,None,test
Who has the lowest money outstanding?,Invoice,Min,None,test
When was the last time video game by dan paid you?,Invoice,Max,TRUE,train
"Last quarter, how many hours did I sell?",Invoice,Count,None,train
"Last fiscal year, what are my AP?",Account Payable,Total,None,test
"This quarter, what are my account receivable?",Account Receivables,Total,None,train
What is the balance owed by geeta kalapatapu?,Sales,Total,FALSE,test
"As of This year, how many invoices for red rock diner were still outstanding?",Invoice,Count,FALSE,test
How many freeman sporting goods invoices are still outstanding?,Invoice,Count,FALSE,test
What are my account payable This year to date?,Account Payable,Total,None,test
What was our smallest expense Last quarter?,Expense,Min,None,train
Show how many transactions you've had with john melton,Invoice,Count,None,test
What are my expenses for the yesterday?,Expense,Total,None,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
What was the average invoice amount for utility in This week to date?,Sales,Average,None,train
Whats our monthly spend on hall property?,Expense,Total,None,train
What is my average invoice from tim philip masonry?,Bill,Average,None,test
What is my total revenue for pye's cakes in the Last year?,Sales,Total,None,train
"This year, what are my AP?",Account Payable,Total,None,test
What were my outgoings during the This year to date?,Expense,Total,None,train
What are my account payable This quarter to date?,Account Payable,Total,None,test
What was the first invoice for sonnenschein family store?,Invoice,Min,None,train
What are my AP This month to date?,Account Payable,Total,None,train
What was the lowest invoice amount for meal and entertainment in This year to date?,Sales,Min,None,train
What was our Net Income as of today?,Sales,Total,None,train
"This fiscal year, what was our largest expense?",Expense,Max,None,train
Show all of 55 twin lane's transactions,Invoice,Count,None,train
What is my total revenue for red rock diner in the This year?,Sales,Total,None,train
Show how many transactions you've had with travis waldron,Invoice,Count,None,test
What are my expenses for the This week to date?,Expense,Total,None,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
How much did we spend on lee advertising in This month?,Expense,Total,TRUE,train
How much did I spend Last 7 days?,Expense,Total,None,train
How many 0969 ocean view road invoices haven't been paid yet?,Invoice,Count,FALSE,train
What is barnett design credit for This week to date?,Sales,Total,FALSE,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
How many invoices were paid Last month?,Invoice,Count,TRUE,train
What is 0969 ocean view road credit for This quarter to date?,Sales,Total,FALSE,train
When was the last time amy's bird sanctuary paid you?,Invoice,Max,TRUE,train
"Since Last 30 days, how many invoices have been past due?",Invoice,Count,FALSE,train
What were my outgoings during the This year to date?,Expense,Total,None,train
"This week, how much did we pay tony rondonuwu?",Expense,Total,TRUE,train
What was our greatest expense This week?,Expense,Max,None,test
What was our smallest expense Last quarter?,Expense,Min,None,train
wedding planning by whitney has received how many invoices?,Invoice,Count,None,train
What were our total payroll expenses This year to date?,Expense,Total,None,train
What was the max invoice amount for installation?,Sales,Max,None,train
How many invoices are still oustanding for sonnenschein family store as of Last 12 months?,Invoice,Count,FALSE,train
What is my min invoice from ellis equipment rental?,Bill,Min,None,test
What's the total number of invoices we've issued to john melton?,Invoice,Count,None,train
When was the last time we billed for installation,Invoice,Max,None,test
How much money did we make This fiscal year to date?,Sales,Total,None,train
What was our total income from rondonuwu fruit and vegi in This fiscal year?,Sales,Total,None,train
What is my first sales for cool car in the This quarter?,Sales,Min,None,test
When was the first time dylan sollfrank paid you?,Invoice,Min,TRUE,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
How many soil did I sell Last 12 months?,Invoice,Count,None,train
When was the first time we billed for hour,Invoice,Min,None,train
What was our smallest expense Last year?,Expense,Min,None,train
When was 0969 ocean view road first payment?,Invoice,Min,TRUE,train
How much we received from equipment rental?,Invoice,Total,None,train
"As of today, how many invoices for rondonuwu fruit and vegi were still unpaid?",Invoice,Count,FALSE,train
What was our Net Expenses?,Expense,Total,None,train
How much did we spend on building repair Last 30 days?,Expense,Total,None,train
What was our greatest expense This year?,Expense,Max,None,test
"This quarter, what are my AP?",Account Payable,Total,None,test
What are my AP This fiscal year to date?,Account Payable,Total,None,train
What was our Net Expenses?,Expense,Total,None,train
How much money have we paid to chin's gas and oil Last 30 days?,Expense,Total,TRUE,train
How much money did we make This week?,Sales,Total,None,train
